age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date,latitude,longitude,ID,income,kidhome,teenhome,dt_customer,numwebvisitsmonth
30.0,unemployed,married,high_school,0.0,0.0,0.0,telephone,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-04-20,43.783,-70.925,e9170af6-b4f8-4700-b954-836f94372fd8,32331,1,2,2012-02-27,28
55.0,blue-collar,married,basic_4y,,1.0,0.0,telephone,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-08-11,25.892,-92.643,47591c83-e88b-40c2-bb8e-de40b94a44cb,158116,0,2,2012-10-08,21
55.0,retired,single,high_school,0.0,1.0,0.0,telephone,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-12-24,35.978,-122.628,1c85ef8a-60a1-424d-804c-f712ccd612cc,38474,0,0,2012-03-20,2
,technician,single,high_school,0.0,1.0,0.0,telephone,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-06-10,37.337,-90.915,f480284a-908b-4575-9ce5-28b396d54e36,179682,2,0,2012-09-26,17
37.0,admin_,married,high_school,0.0,1.0,0.0,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-05-19,39.448,-92.851,2a14bcd3-a981-45c2-ac76-79323567627c,49728,1,2,2012-02-07,12
35.0,technician,married,university_degree,0.0,0.0,1.0,telephone,99,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2018-03-19,46.594,-78.17,c298253f-fcd6-45cb-a6b0-9815ec3e7c13,176324,1,0,2012-04-04,1
,technician,married,,0.0,1.0,0.0,telephone,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-25,44.446,-74.218,cbf9c247-762f-40f9-a351-a7e686ac7488,104766,0,2,2012-12-19,32
39.0,self-employed,married,basic_9y,,0.0,0.0,telephone,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-11-23,43.028,-96.627,b4861606-8206-4f41-acd5-63b48d5596a1,118851,0,2,2012-02-08,30
54.0,technician,single,university_degree,,0.0,0.0,telephone,255,2,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-12-05,30.242,-67.276,f52b8aff-2bab-496e-9b18-95925894c0ed,54609,1,1,2012-01-08,25
55.0,,married,university_degree,,,,telephone,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-07-01,47.472,-87.614,943bc97d-2618-4ba3-b2dc-5a3d1571446a,75488,1,1,2012-08-30,26
46.0,admin_,married,,0.0,0.0,0.0,telephone,348,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2019-12-20,46.952,-97.482,61bec99d-c1d2-4231-aa6a-37a002c9af42,172888,1,2,2012-11-01,10
59.0,technician,married,,0.0,1.0,0.0,telephone,386,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2019-04-14,27.676,-74.451,9eaba08c-51a8-477f-93b6-ad65fb0b6f03,90838,1,0,2012-05-10,7
49.0,blue-collar,married,,0.0,0.0,0.0,telephone,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-01-04,49.316,-91.441,69cb4917-d4e6-456f-a840-c5c411bac44c,20361,2,0,2012-11-14,32
54.0,management,married,basic_4y,,1.0,0.0,telephone,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-05,48.792,-87.676,a028192c-3c95-4935-aa95-06515e5fd38d,128876,0,2,2012-10-06,1
,blue-collar,divorced,basic_4y,0.0,0.0,0.0,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-12-18,47.015,-88.913,ebf703d5-d980-47bc-a8eb-6de16260483f,121937,2,2,2012-10-29,21
55.0,,married,basic_4y,,1.0,0.0,telephone,336,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2018-02-11,49.107,-116.582,7aeeda6f-95df-402b-a8d8-817764f4dafe,73868,1,1,2012-02-29,14
34.0,services,married,high_school,0.0,0.0,0.0,telephone,365,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2019-10-17,46.714,-103.715,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9,83851,1,1,2012-10-18,12
52.0,technician,married,basic_9y,0.0,1.0,0.0,telephone,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-12-11,29.214,-87.396,a7eb98b2-0163-4375-a6a5-40b5f2ce6428,71669,2,2,2012-04-16,26
41.0,admin_,married,university_degree,0.0,1.0,0.0,telephone,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-04-26,24.874,-107.27,a9280a68-5b1e-448c-98c9-271eba3e4a30,50412,0,0,2012-05-05,2
56.0,technician,married,basic_4y,0.0,1.0,0.0,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-04-23,36.539,-70.595,b1d3e69b-43f5-4983-ba00-37dcc3979e84,35940,1,0,2012-11-15,15
58.0,management,,university_degree,0.0,1.0,0.0,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-09-15,25.841,-83.067,e03dc123-10b3-42f2-9d18-c26a53c7a473,131696,2,0,2012-12-23,3
32.0,entrepreneur,married,high_school,0.0,1.0,0.0,telephone,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-12-29,33.876,-117.423,41f0832d-fea4-47dc-81c3-ad5a528a2fb7,55182,2,0,2012-11-20,7
38.0,admin_,single,professional_course,0.0,0.0,0.0,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-03-12,45.8,-93.786,dd9279a9-2d85-4f87-b87b-560f5224d46a,170859,2,2,2012-04-11,28
,admin_,married,university_degree,0.0,0.0,1.0,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-06-06,24.925,-92.686,45576313-a078-48e8-803c-b5fec072ee53,65477,0,0,2012-09-10,24
44.0,admin_,married,university_degree,,1.0,0.0,telephone,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-01-05,37.511,-94.109,f2e69637-04fb-4d2d-813e-b15e061776e9,122815,2,1,2012-05-14,28
42.0,technician,single,professional_course,,0.0,0.0,telephone,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-01-08,42.145,-108.433,01d47e8f-32e7-4fd8-8188-2761a09f42bb,52087,0,2,2012-03-09,13
57.0,admin_,married,university_degree,0.0,1.0,1.0,telephone,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-10-15,33.318,-77.7,170ae51e-abde-4832-a157-f1bf0f630e83,136434,1,1,2012-07-03,3
40.0,blue-collar,married,basic_9y,0.0,0.0,1.0,telephone,178,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2017-08-15,36.269,-117.853,6beb1eea-2343-42c1-9881-378c64cf08e5,48855,2,1,2012-08-21,11
35.0,admin_,married,university_degree,0.0,1.0,0.0,telephone,355,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2015-12-19,27.521,-88.316,6155f7ed-fc77-4de5-8f66-386c9a85d74a,14091,1,2,2012-03-23,15
45.0,blue-collar,married,basic_9y,0.0,1.0,0.0,telephone,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-05-15,47.71,-91.255,652ef647-2ee2-4afd-8cd1-105ff08b9dfb,49376,1,2,2012-11-21,18
54.0,admin_,married,high_school,0.0,0.0,0.0,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-05-23,25.729,-90.585,89d515a3-7191-4a7c-b166-692bd3eb0e2e,141524,1,2,2012-01-10,32
39.0,housemaid,married,basic_4y,0.0,0.0,1.0,telephone,266,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2015-10-02,24.802,-71.158,d43355a7-b518-46f4-8713-b9daba3e586f,139751,0,2,2012-06-23,15
60.0,admin_,married,high_school,0.0,0.0,0.0,telephone,253,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2019-07-20,24.541,-83.412,b575bf38-fde5-4980-a253-e5d2a7c6622d,175358,2,1,2012-07-27,8
,admin_,single,professional_course,0.0,0.0,0.0,telephone,179,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-10-22,44.802,-106.795,fc488ebf-de25-4108-a5e0-881010bcb6db,43378,1,0,2012-01-13,14
55.0,blue-collar,married,basic_4y,,0.0,0.0,telephone,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-07-24,33.009,-115.68,a53d19c6-cc04-4e56-936c-2af714cb0691,171806,2,1,2012-04-01,26
,technician,married,professional_course,,1.0,0.0,telephone,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-02-04,34.004,-99.004,b49bf23e-16c4-4e10-8bad-cff8277af141,82735,2,1,2012-09-15,5
50.0,management,married,university_degree,,0.0,1.0,telephone,161,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2018-12-03,45.639,-90.524,3cd59535-e982-46ec-8bdb-5540b42f98c7,21488,1,2,2012-07-13,29
45.0,services,married,high_school,,1.0,0.0,telephone,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-11-16,44.358,-88.987,b9e57bd9-32b6-48db-be0b-399968bb4458,165897,1,2,2012-11-28,3
55.0,unemployed,married,professional_course,,1.0,1.0,telephone,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-08-08,32.791,-93.839,c70bda4e-ab87-48ad-a248-c654a465ba18,20845,2,2,2012-09-27,1
25.0,technician,single,university_degree,0.0,1.0,0.0,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2018-11-22,25.291,-113.185,df2754f0-ab9d-4392-969f-255be30bcf95,42782,0,1,2012-05-14,15
,entrepreneur,married,university_degree,,0.0,0.0,telephone,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-01-13,24.665,-117.482,4c4427bf-a4b4-4127-a461-a0db67bb5508,140136,2,2,2012-07-18,14
51.0,blue-collar,married,basic_9y,0.0,1.0,0.0,telephone,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-04-15,46.189,-86.233,356fc69e-a248-4af2-ae28-c2c8d3aa779d,76853,2,0,2012-11-12,23
,blue-collar,married,basic_6y,,1.0,0.0,telephone,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-08,25.975,-93.643,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707,61337,0,1,2012-02-24,7
42.0,blue-collar,married,basic_6y,,0.0,0.0,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-30,39.95,-85.247,4d0f692b-c599-45a2-b496-3b4fb0ca3a41,178376,1,1,2012-06-10,18
48.0,admin_,married,high_school,0.0,0.0,0.0,telephone,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-06-07,41.612,-124.248,d8ea4803-4a98-402e-a522-03302ef278b5,83568,0,2,2012-01-06,18
37.0,admin_,married,university_degree,0.0,0.0,0.0,telephone,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-26,33.968,-106.024,472c21b6-733b-448a-b97e-0899d471b051,114438,1,0,2012-06-06,32
,blue-collar,single,basic_9y,0.0,1.0,0.0,telephone,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-07,45.432,-82.709,c2c2c999-1f3d-48ac-9a17-562777356f88,128341,2,0,2012-10-29,13
,admin_,married,,0.0,1.0,0.0,telephone,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-03-29,39.012,-122.204,f9b67e3e-db2e-4089-85e1-df5462319653,26244,0,2,2012-05-18,16
56.0,admin_,married,basic_9y,0.0,1.0,0.0,telephone,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-02-08,33.548,-123.247,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7,130764,1,0,2012-03-30,8
,blue-collar,single,basic_4y,,1.0,1.0,telephone,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-17,45.195,-67.229,c5bee864-d04c-4e58-a813-8239b67d6345,141859,2,1,2012-02-06,4
41.0,management,married,basic_6y,0.0,0.0,0.0,telephone,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-24,39.804,-94.191,c9264446-deae-4147-87a6-7f6d53a50af0,55445,0,2,2012-10-05,21
44.0,management,divorced,university_degree,0.0,1.0,0.0,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-01-05,28.527,-77.464,5df79f8e-3ec3-48f9-bbff-b21447c79099,77947,1,1,2012-04-29,11
47.0,admin_,married,university_degree,,1.0,0.0,telephone,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-07-12,32.595,-83.523,6444da89-9436-4b09-ad38-159551c260e3,67439,0,1,2012-03-05,9
57.0,,married,,,0.0,0.0,telephone,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-06-18,43.394,-79.522,6e4cd355-435a-4d7b-b2f5-92d64c706a05,80033,0,0,2012-01-15,11
37.0,admin_,married,university_degree,,1.0,0.0,telephone,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-01-22,32.349,-70.223,d3fd430a-83ab-48fb-ad0f-29219a273d56,93745,0,2,2012-07-16,27
41.0,blue-collar,divorced,basic_4y,,1.0,0.0,telephone,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2017-02-14,33.119,-78.718,52fe0cf8-74be-4760-a5fe-ac78c82cfe52,51945,1,1,2012-05-16,32
55.0,technician,married,university_degree,0.0,0.0,0.0,telephone,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-07-31,26.058,-102.059,fd488945-dcb1-4c93-ae06-2b2378db0bd0,177873,0,0,2012-07-13,11
,services,married,high_school,,1.0,0.0,telephone,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-04,39.699,-95.333,983b0a18-7d54-4900-bc06-ba7b30e17f49,121966,1,1,2012-08-08,31
55.0,management,married,,,1.0,0.0,telephone,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-05,27.091,-117.264,be6c8341-fb40-4158-8d62-81fb98648760,167586,0,1,2012-02-12,18
42.0,blue-collar,married,basic_9y,,0.0,0.0,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-02-07,41.803,-100.479,f583f88c-58de-40db-bcae-b2b9105fa153,70480,1,2,2012-08-19,13
50.0,blue-collar,married,basic_4y,,1.0,0.0,telephone,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-08-19,39.627,-98.496,cc1029bd-87da-4de0-8735-a3b090df62c0,18714,2,2,2012-08-10,23
51.0,blue-collar,married,basic_4y,,,,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2015-05-14,48.81,-79.382,cf01e33c-2eb7-4020-8c72-879d3489bfa1,74584,0,1,2012-08-27,14
38.0,admin_,married,high_school,,0.0,0.0,telephone,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-01-13,43.962,-121.032,e6382798-c0b1-4337-af1b-ee9196f5c831,7462,2,2,2012-08-20,21
49.0,entrepreneur,married,university_degree,,1.0,0.0,telephone,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2016-11-23,32.461,-91.026,d3ea4624-cbe7-40bf-8324-cc3c763f0e80,153359,0,2,2012-11-15,9
38.0,technician,single,university_degree,0.0,0.0,1.0,telephone,20,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-09-10,32.004,-111.513,d652e74e-8e59-4eb0-ada7-512f3d11ea40,138685,2,0,2012-12-25,20
31.0,admin_,divorced,high_school,0.0,0.0,0.0,telephone,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-06-18,33.276,-82.641,18060794-5ed8-44ab-8b30-ceb9cc3222fd,116608,1,0,2012-07-20,13
,management,married,basic_6y,0.0,0.0,0.0,telephone,529,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-08-28,36.293,-104.523,360a3c07-d566-4079-9550-6c6c6422f5f2,14417,1,0,2012-07-30,1
39.0,admin_,married,university_degree,0.0,1.0,1.0,telephone,192,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2018-11-18,43.599,-75.453,1246ce73-1096-4b01-b971-0bffb7ca7fee,99031,0,0,2012-08-28,21
49.0,technician,married,basic_9y,0.0,0.0,0.0,telephone,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2015-05-17,44.354,-83.771,01fe1411-bb08-4ae3-8252-0e7385580955,93507,2,1,2012-10-19,15
34.0,admin_,married,high_school,0.0,1.0,0.0,telephone,188,2,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-10-26,38.383,-87.624,1a7cb055-189b-4261-a521-bd11ec6ab304,68707,1,0,2012-02-09,16
35.0,admin_,married,university_degree,0.0,1.0,0.0,telephone,180,2,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-08-27,40.103,-79.228,a068e668-ee92-47ab-94b3-2c6f0660c267,119162,1,0,2012-07-09,1
,,married,,,1.0,0.0,telephone,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-30,46.083,-123.668,1d488b7c-d680-4210-87f4-caab6d9ee03f,74474,2,1,2012-09-04,13
60.0,admin_,married,,,0.0,1.0,telephone,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-02-23,45.97,-95.297,27c0a2c1-7538-4097-a0c8-501fbf55dfee,111496,2,0,2012-02-18,19
33.0,unemployed,married,basic_9y,0.0,0.0,0.0,telephone,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-12-03,39.664,-122.563,3e29229f-9ee7-455c-b623-63250793db56,95189,0,0,2012-07-18,22
42.0,blue-collar,married,basic_6y,0.0,0.0,1.0,telephone,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-20,27.672,-100.531,8e84714f-4768-41e6-bc2b-2dff581e12b8,45768,1,1,2012-06-17,21
45.0,services,married,professional_course,0.0,1.0,0.0,telephone,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-08-17,35.966,-75.199,aa9a96e2-a1f0-48b9-bd12-0d082fc65f56,122783,0,0,2012-11-03,3
42.0,management,married,university_degree,0.0,0.0,0.0,telephone,426,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2018-11-28,39.727,-101.195,9eada552-2e0f-4e25-bc52-86b419bcf3b8,98678,0,0,2012-12-02,31
53.0,admin_,divorced,university_degree,,0.0,0.0,telephone,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-12-08,45.633,-122.143,3da2368a-8b67-4b7e-bf51-0499b71369dc,21072,0,0,2012-07-09,21
37.0,technician,single,professional_course,0.0,0.0,0.0,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-05-19,44.314,-91.625,c96f9121-6f02-44bd-aa3c-4da573414177,60378,1,2,2012-09-14,18
44.0,blue-collar,married,basic_6y,0.0,0.0,0.0,telephone,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-07-29,38.534,-99.64,73dae94a-e882-4845-aa30-0aaff25d2a17,145871,0,2,2012-08-13,8
54.0,services,married,,0.0,1.0,0.0,telephone,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-12-01,31.532,-88.105,7aa43513-2461-455c-9430-9afb22f3a22d,109725,1,0,2012-08-03,13
49.0,blue-collar,married,basic_4y,0.0,0.0,0.0,telephone,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-12-21,31.619,-70.718,18b0c404-331a-4a68-90bc-0494a082f62d,96711,0,0,2012-03-07,29
54.0,services,married,,0.0,0.0,0.0,telephone,400,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2015-12-22,33.409,-121.292,012204f4-fca9-4bcb-a64d-808135727728,12244,0,0,2012-01-26,28
52.0,admin_,divorced,university_degree,0.0,0.0,0.0,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-04-18,47.84,-114.833,33803ffa-fb03-4f0f-9f5c-3f2b9a28bc93,36606,1,1,2012-06-27,27
52.0,admin_,divorced,university_degree,0.0,0.0,0.0,telephone,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-08-26,42.761,-74.313,834fda51-1ba3-4290-8be6-b59479dfb43b,154051,2,2,2012-11-09,18
43.0,services,single,high_school,,0.0,0.0,telephone,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-06-25,39.558,-107.838,4dfcd68a-ccd2-4388-812c-c243a4b60254,29727,1,2,2012-09-28,2
34.0,housemaid,married,basic_6y,0.0,1.0,0.0,telephone,300,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-10-06,31.483,-100.16,f2ab895d-7487-4b68-b9e8-7ab8e734bd47,54061,2,2,2012-05-23,7
35.0,admin_,married,high_school,0.0,1.0,0.0,telephone,123,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-11-21,34.907,-74.84,9375d7ce-9370-402c-aed1-a4c1e814aaba,127139,0,0,2012-02-11,1
42.0,entrepreneur,married,,,1.0,0.0,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-10-22,48.387,-89.689,5c79786f-6162-4496-8a30-b681f4115768,85638,1,0,2012-12-22,15
43.0,technician,married,,,1.0,1.0,telephone,325,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-02-11,40.367,-91.34,ccb97836-0739-467e-bc99-d030ae3b52e4,170502,0,0,2012-10-22,3
